concept_id,inject_layer,read_layer,strength,strength_mode,baseline_rate,steered_rate,mean_random_rate,lift_over_random,n_random,probe_accuracy,n_prompts
wasta_001,17,18,0.05,relative,0.583333,1.0,0.625,0.375,3,0.483333,24
wasta_001,17,18,0.1,relative,0.583333,1.0,0.694444,0.305556,3,0.483333,24
wasta_001,17,18,0.02,relative,0.583333,0.875,0.625,0.25,3,0.483333,24
wasta_001,17,18,0.2,relative,0.583333,1.0,0.763889,0.236111,3,0.483333,24
diyafa_001,17,18,0.2,relative,0.416667,1.0,0.277778,0.722222,3,0.8,24
diyafa_001,17,18,0.1,relative,0.416667,1.0,0.361111,0.638889,3,0.8,24
diyafa_001,17,18,0.05,relative,0.416667,1.0,0.416667,0.583333,3,0.8,24
diyafa_001,17,18,0.02,relative,0.416667,0.916667,0.416667,0.5,3,0.8,24
karam_001,2,3,0.2,relative,0.041667,1.0,0.111111,0.888889,3,0.65,24
karam_001,2,3,0.1,relative,0.041667,1.0,0.125,0.875,3,0.65,24
karam_001,2,3,0.05,relative,0.041667,0.708333,0.069444,0.638889,3,0.65,24
karam_001,2,3,0.02,relative,0.041667,0.416667,0.041667,0.375,3,0.65,24
sharaf_001,9,10,0.1,relative,0.25,1.0,0.458333,0.541667,3,0.766667,24
sharaf_001,9,10,0.05,relative,0.25,0.75,0.361111,0.388889,3,0.766667,24
sharaf_001,9,10,0.2,relative,0.25,1.0,0.611111,0.388889,3,0.766667,24
sharaf_001,9,10,0.02,relative,0.25,0.5,0.291667,0.208333,3,0.766667,24
sabr_001,0,1,0.05,relative,0.5,1.0,0.513889,0.486111,3,0.75,24
sabr_001,0,1,0.1,relative,0.5,1.0,0.541667,0.458333,3,0.75,24
sabr_001,0,1,0.2,relative,0.5,1.0,0.583333,0.416667,3,0.75,24
sabr_001,0,1,0.02,relative,0.5,0.916667,0.513889,0.402778,3,0.75,24
silat_rahim_001,1,2,0.05,relative,0.208333,1.0,0.208333,0.791667,3,0.7,24
silat_rahim_001,1,2,0.1,relative,0.208333,1.0,0.208333,0.791667,3,0.7,24
silat_rahim_001,1,2,0.2,relative,0.208333,1.0,0.222222,0.777778,3,0.7,24
silat_rahim_001,1,2,0.02,relative,0.208333,0.791667,0.208333,0.583333,3,0.7,24
shura_001,20,21,0.02,relative,0.458333,0.958333,0.5,0.458333,3,0.6,24
shura_001,20,21,0.05,relative,0.458333,1.0,0.555556,0.444444,3,0.6,24
shura_001,20,21,0.1,relative,0.458333,1.0,0.625,0.375,3,0.6,24
shura_001,20,21,0.2,relative,0.458333,1.0,0.708333,0.291667,3,0.6,24
majlis_001,1,2,0.2,relative,0.375,1.0,0.319444,0.680556,3,0.766667,24
majlis_001,1,2,0.1,relative,0.375,1.0,0.361111,0.638889,3,0.766667,24
majlis_001,1,2,0.05,relative,0.375,0.958333,0.361111,0.597222,3,0.766667,24
majlis_001,1,2,0.02,relative,0.375,0.708333,0.375,0.333333,3,0.766667,24
fazaa_001,2,3,0.2,relative,0.416667,1.0,0.319444,0.680556,3,0.766667,24
fazaa_001,2,3,0.1,relative,0.416667,1.0,0.361111,0.638889,3,0.766667,24
fazaa_001,2,3,0.05,relative,0.416667,1.0,0.375,0.625,3,0.766667,24
fazaa_001,2,3,0.02,relative,0.416667,0.958333,0.416667,0.541667,3,0.766667,24
hayaa_001,10,11,0.1,relative,0.291667,1.0,0.236111,0.763889,3,0.766667,24
hayaa_001,10,11,0.2,relative,0.291667,1.0,0.25,0.75,3,0.766667,24
hayaa_001,10,11,0.05,relative,0.291667,0.958333,0.236111,0.722222,3,0.766667,24
hayaa_001,10,11,0.02,relative,0.291667,0.583333,0.277778,0.305556,3,0.766667,24
