concept_id,reader_language,inject_layer,read_layer,strength,probe_accuracy,baseline_rate,same_language_rate,other_language_rate,mean_random_rate,same_language_lift,transfer_lift,transfer_ratio,n_random,n_prompts
wasta_001,en,17,18,0.02,0.6875,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,12
wasta_001,en,17,18,0.05,0.6875,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,12
wasta_001,en,17,18,0.1,0.6875,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,12
wasta_001,en,17,18,0.2,0.6875,1.0,1.0,0.916667,1.0,0.0,-0.083333,0.0,3,12
wasta_001,ar,17,18,0.02,0.625,0.333333,0.833333,0.333333,0.305556,0.527778,0.027778,0.052632,3,12
wasta_001,ar,17,18,0.1,0.625,0.333333,1.0,0.25,0.25,0.75,-0.0,-0.0,3,12
wasta_001,ar,17,18,0.05,0.625,0.333333,1.0,0.25,0.277778,0.722222,-0.027778,-0.038462,3,12
wasta_001,ar,17,18,0.2,0.625,0.333333,1.0,0.083333,0.25,0.75,-0.166667,-0.222222,3,12
diyafa_001,en,17,18,0.1,0.875,0.583333,1.0,0.583333,0.555556,0.444444,0.027778,0.0625,3,12
diyafa_001,en,17,18,0.2,0.875,0.583333,1.0,0.583333,0.555556,0.444444,0.027778,0.0625,3,12
diyafa_001,en,17,18,0.02,0.875,0.583333,0.666667,0.583333,0.583333,0.083333,0.0,0.0,3,12
diyafa_001,en,17,18,0.05,0.875,0.583333,1.0,0.583333,0.583333,0.416667,0.0,0.0,3,12
diyafa_001,ar,17,18,0.2,0.75,0.333333,1.0,0.75,0.361111,0.638889,0.388889,0.608696,3,12
diyafa_001,ar,17,18,0.1,0.75,0.333333,1.0,0.416667,0.305556,0.694444,0.111111,0.16,3,12
diyafa_001,ar,17,18,0.02,0.75,0.333333,1.0,0.333333,0.333333,0.666667,0.0,0.0,3,12
diyafa_001,ar,17,18,0.05,0.75,0.333333,1.0,0.333333,0.333333,0.666667,0.0,0.0,3,12
karam_001,en,2,3,0.02,0.5625,0.416667,0.833333,0.416667,0.416667,0.416667,0.0,0.0,3,12
karam_001,en,2,3,0.05,0.5625,0.416667,1.0,0.416667,0.472222,0.527778,-0.055556,-0.105263,3,12
karam_001,en,2,3,0.1,0.5625,0.416667,1.0,0.5,0.583333,0.416667,-0.083333,-0.2,3,12
karam_001,en,2,3,0.2,0.5625,0.416667,1.0,0.666667,0.777778,0.222222,-0.111111,-0.5,3,12
karam_001,ar,2,3,0.05,0.75,0.0,0.916667,0.083333,0.027778,0.888889,0.055556,0.0625,3,12
karam_001,ar,2,3,0.2,0.75,0.0,1.0,0.166667,0.111111,0.888889,0.055556,0.0625,3,12
karam_001,ar,2,3,0.1,0.75,0.0,1.0,0.083333,0.055556,0.944444,0.027778,0.029412,3,12
karam_001,ar,2,3,0.02,0.75,0.0,0.416667,0.0,0.0,0.416667,0.0,0.0,3,12
sharaf_001,en,9,10,0.02,0.625,0.083333,0.5,0.166667,0.111111,0.388889,0.055556,0.142857,3,12
sharaf_001,en,9,10,0.1,0.625,0.083333,1.0,0.416667,0.333333,0.666667,0.083333,0.125,3,12
sharaf_001,en,9,10,0.05,0.625,0.083333,0.666667,0.25,0.222222,0.444444,0.027778,0.0625,3,12
sharaf_001,en,9,10,0.2,0.625,0.083333,1.0,0.416667,0.444444,0.555556,-0.027778,-0.05,3,12
sharaf_001,ar,9,10,0.2,0.625,0.416667,1.0,0.916667,0.388889,0.611111,0.527778,0.863636,3,12
sharaf_001,ar,9,10,0.1,0.625,0.416667,1.0,0.75,0.333333,0.666667,0.416667,0.625,3,12
sharaf_001,ar,9,10,0.02,0.625,0.416667,0.833333,0.5,0.361111,0.472222,0.138889,0.294118,3,12
sharaf_001,ar,9,10,0.05,0.625,0.416667,1.0,0.5,0.361111,0.638889,0.138889,0.217391,3,12
sabr_001,en,0,1,0.02,0.75,0.083333,0.833333,0.083333,0.083333,0.75,0.0,0.0,3,12
sabr_001,en,0,1,0.05,0.75,0.083333,1.0,0.083333,0.111111,0.888889,-0.027778,-0.03125,3,12
sabr_001,en,0,1,0.1,0.75,0.083333,1.0,0.083333,0.194444,0.805556,-0.111111,-0.137931,3,12
sabr_001,en,0,1,0.2,0.75,0.083333,1.0,0.083333,0.361111,0.638889,-0.277778,-0.434783,3,12
sabr_001,ar,0,1,0.1,0.75,0.916667,1.0,1.0,0.972222,0.027778,0.027778,1.0,3,12
sabr_001,ar,0,1,0.2,0.75,0.916667,1.0,1.0,0.944444,0.055556,0.055556,1.0,3,12
sabr_001,ar,0,1,0.02,0.75,0.916667,1.0,0.916667,0.916667,0.083333,0.0,0.0,3,12
