concept_id,layer,metric,probe_score,probe_std,chance,lift_over_chance,p_value,n_permutations,majority_class_rate,n_samples
wasta_001,0,balanced_accuracy,0.45,0.145297,0.5,-0.05,0.651741,200,0.6,20
wasta_001,1,balanced_accuracy,0.3,0.113039,0.5,-0.2,0.945274,200,0.6,20
wasta_001,2,balanced_accuracy,0.266667,0.122474,0.5,-0.233333,0.960199,200,0.6,20
wasta_001,3,balanced_accuracy,0.266667,0.122474,0.5,-0.233333,0.9801,200,0.6,20
wasta_001,4,balanced_accuracy,0.416667,0.182574,0.5,-0.083333,0.746269,200,0.6,20
wasta_001,5,balanced_accuracy,0.45,0.233333,0.5,-0.05,0.676617,200,0.6,20
wasta_001,6,balanced_accuracy,0.45,0.233333,0.5,-0.05,0.691542,200,0.6,20
wasta_001,7,balanced_accuracy,0.45,0.233333,0.5,-0.05,0.666667,200,0.6,20
wasta_001,8,balanced_accuracy,0.45,0.233333,0.5,-0.05,0.691542,200,0.6,20
wasta_001,9,balanced_accuracy,0.45,0.233333,0.5,-0.05,0.711443,200,0.6,20
wasta_001,10,balanced_accuracy,0.45,0.233333,0.5,-0.05,0.686567,200,0.6,20
wasta_001,11,balanced_accuracy,0.433333,0.219848,0.5,-0.066667,0.726368,200,0.6,20
wasta_001,12,balanced_accuracy,0.433333,0.219848,0.5,-0.066667,0.736318,200,0.6,20
wasta_001,13,balanced_accuracy,0.433333,0.219848,0.5,-0.066667,0.736318,200,0.6,20
wasta_001,14,balanced_accuracy,0.433333,0.219848,0.5,-0.066667,0.741294,200,0.6,20
wasta_001,15,balanced_accuracy,0.433333,0.219848,0.5,-0.066667,0.731343,200,0.6,20
wasta_001,16,balanced_accuracy,0.433333,0.219848,0.5,-0.066667,0.756219,200,0.6,20
wasta_001,17,balanced_accuracy,0.433333,0.219848,0.5,-0.066667,0.741294,200,0.6,20
wasta_001,18,balanced_accuracy,0.483333,0.2,0.5,-0.016667,0.557214,200,0.6,20
wasta_001,19,balanced_accuracy,0.45,0.233333,0.5,-0.05,0.666667,200,0.6,20
