concept_id,relative_strength,layer,effect_kl,mean_loss,perplexity
wasta_001,-0.4,18,0.39112,5.537256,253.980061
wasta_001,-0.2,18,0.112256,4.604305,99.913526
wasta_001,0.0,18,0.0,4.184907,65.687405
wasta_001,0.2,18,0.110118,4.35873,78.157843
wasta_001,0.4,18,0.373981,5.141808,171.024773
muruah_001,-0.4,0,0.193606,4.329065,75.873329
muruah_001,-0.2,0,0.013118,4.157071,63.884136
muruah_001,0.0,0,0.0,4.184907,65.687405
muruah_001,0.2,0,0.038332,4.182763,65.546697
muruah_001,0.4,0,1.479941,5.055988,156.959534
diyafa_001,-0.4,18,0.376351,4.991626,147.175603
diyafa_001,-0.2,18,0.097395,4.450119,85.637119
diyafa_001,0.0,18,0.0,4.184907,65.687405
diyafa_001,0.2,18,0.071451,4.393915,80.956709
diyafa_001,0.4,18,0.248536,5.062821,158.035753
karam_001,-0.4,3,0.319948,4.256436,70.55806
karam_001,-0.2,3,0.022544,4.175582,65.077681
karam_001,0.0,3,0.0,4.184907,65.687405
karam_001,0.2,3,0.037039,4.144295,63.07312
karam_001,0.4,3,0.112272,4.13921,62.753223
sharaf_001,-0.4,10,0.305177,4.420945,83.174851
sharaf_001,-0.2,10,0.098296,4.125783,61.916278
sharaf_001,0.0,10,0.0,4.184907,65.687405
sharaf_001,0.2,10,0.056547,4.424775,83.494057
sharaf_001,0.4,10,0.655326,5.154916,173.281317
sabr_001,-0.4,1,0.434108,4.675551,107.291713
sabr_001,-0.2,1,0.025799,4.293309,73.208281
sabr_001,0.0,1,0.0,4.184907,65.687405
sabr_001,0.2,1,0.024674,4.143786,63.041047
sabr_001,0.4,1,0.583762,4.583696,97.875435
silat_rahim_001,-0.4,2,1.739527,6.160212,473.528381
silat_rahim_001,-0.2,2,0.452413,4.376424,79.553067
silat_rahim_001,0.0,2,0.0,4.184907,65.687405
silat_rahim_001,0.2,2,0.079096,4.240153,69.418467
silat_rahim_001,0.4,2,1.726418,5.042692,154.886467
jiwar_001,-0.4,0,6.888768,6.606746,740.07091
jiwar_001,-0.2,0,0.035254,4.265039,71.16769
jiwar_001,0.0,0,0.0,4.184907,65.687405
jiwar_001,0.2,0,0.078651,4.114547,61.224462
jiwar_001,0.4,0,2.421874,6.377375,588.381084
shura_001,-0.4,21,0.230313,5.63725,280.689718
shura_001,-0.2,21,0.065577,4.757743,116.48273
shura_001,0.0,21,0.0,4.184907,65.687405
shura_001,0.2,21,0.065644,4.017303,55.551103
shura_001,0.4,21,0.231758,4.219442,67.995505
majlis_001,-0.4,2,1.55915,5.883722,359.143428
majlis_001,-0.2,2,0.965349,4.775722,118.595874
majlis_001,0.0,2,0.0,4.184907,65.687405
majlis_001,0.2,2,0.078422,4.255972,70.525335
majlis_001,0.4,2,1.785644,5.481098,240.110223
fazaa_001,-0.4,3,0.328614,4.258789,70.724269
fazaa_001,-0.2,3,0.026201,4.185773,65.744323
fazaa_001,0.0,3,0.0,4.184907,65.687405
fazaa_001,0.2,3,0.03826,4.124285,61.823586
fazaa_001,0.4,3,0.134786,4.164719,64.37461
hayaa_001,-0.4,11,0.292734,4.402197,81.630046
hayaa_001,-0.2,11,0.08519,4.141212,62.879002
hayaa_001,0.0,11,0.0,4.184907,65.687405
hayaa_001,0.2,11,0.098614,4.395278,81.067193
hayaa_001,0.4,11,0.6229,5.218108,184.584582
