concept_id,inject_layer,read_layer,strength,strength_mode,baseline_rate,steered_rate,mean_random_rate,lift_over_random,n_random,probe_accuracy,n_prompts
wasta_001,4,11,0.1,relative,0.333333,1.0,0.416667,0.583333,3,0.3,24
wasta_001,4,11,0.2,relative,0.333333,1.0,0.638889,0.361111,3,0.3,24
wasta_001,4,11,0.4,relative,0.333333,1.0,0.819444,0.180556,3,0.3,24
muruah_001,5,11,0.1,relative,0.583333,1.0,0.611111,0.388889,3,0.433333,24
muruah_001,5,11,0.4,relative,0.583333,1.0,0.666667,0.333333,3,0.433333,24
muruah_001,5,11,0.2,relative,0.583333,1.0,0.708333,0.291667,3,0.433333,24
karam_001,4,11,0.4,relative,0.541667,1.0,0.347222,0.652778,3,0.6,24
karam_001,4,11,0.1,relative,0.541667,0.958333,0.430556,0.527778,3,0.6,24
karam_001,4,11,0.2,relative,0.541667,1.0,0.5,0.5,3,0.6,24
sharaf_001,2,11,0.4,relative,0.708333,0.958333,0.805556,0.152778,3,0.616667,24
sharaf_001,2,11,0.1,relative,0.708333,0.75,0.625,0.125,3,0.616667,24
sharaf_001,2,11,0.2,relative,0.708333,0.75,0.638889,0.111111,3,0.616667,24
sabr_001,0,11,0.4,relative,0.541667,1.0,0.416667,0.583333,3,0.683333,24
sabr_001,0,11,0.2,relative,0.541667,0.916667,0.513889,0.402778,3,0.683333,24
sabr_001,0,11,0.1,relative,0.541667,0.708333,0.555556,0.152778,3,0.683333,24
silat_rahim_001,2,11,0.4,relative,0.416667,1.0,0.347222,0.652778,3,0.466667,24
silat_rahim_001,2,11,0.2,relative,0.416667,0.625,0.458333,0.166667,3,0.466667,24
silat_rahim_001,2,11,0.1,relative,0.416667,0.5,0.402778,0.097222,3,0.466667,24
jiwar_001,2,11,0.4,relative,0.458333,1.0,0.027778,0.972222,3,0.516667,24
jiwar_001,2,11,0.2,relative,0.458333,0.958333,0.083333,0.875,3,0.516667,24
jiwar_001,2,11,0.1,relative,0.458333,0.75,0.222222,0.527778,3,0.516667,24
shura_001,0,11,0.4,relative,0.5,0.916667,0.458333,0.458333,3,0.45,24
shura_001,0,11,0.2,relative,0.5,0.708333,0.458333,0.25,3,0.45,24
shura_001,0,11,0.1,relative,0.5,0.666667,0.527778,0.138889,3,0.45,24
majlis_001,1,11,0.4,relative,0.666667,1.0,0.402778,0.597222,3,0.433333,24
majlis_001,1,11,0.2,relative,0.666667,1.0,0.430556,0.569444,3,0.433333,24
majlis_001,1,11,0.1,relative,0.666667,0.791667,0.569444,0.222222,3,0.433333,24
fazaa_001,2,11,0.2,relative,0.5,0.666667,0.416667,0.25,3,0.716667,24
fazaa_001,2,11,0.4,relative,0.5,0.833333,0.611111,0.222222,3,0.716667,24
fazaa_001,2,11,0.1,relative,0.5,0.541667,0.472222,0.069444,3,0.716667,24
hayaa_001,0,11,0.4,relative,0.25,0.958333,0.388889,0.569444,3,0.716667,24
hayaa_001,0,11,0.2,relative,0.25,0.75,0.319444,0.430556,3,0.716667,24
hayaa_001,0,11,0.1,relative,0.25,0.666667,0.277778,0.388889,3,0.716667,24
