concept_id,layer,probe_accuracy,probe_std,chance_accuracy,lift_over_chance,n_samples
wasta_001,0,0.3,0.1,0.6,-0.3,20
wasta_001,1,0.45,0.1,0.6,-0.15,20
wasta_001,2,0.3,0.1,0.6,-0.3,20
wasta_001,3,0.35,0.122474,0.6,-0.25,20
wasta_001,4,0.5,0.0,0.6,-0.1,20
wasta_001,5,0.5,0.0,0.6,-0.1,20
wasta_001,6,0.5,0.0,0.6,-0.1,20
wasta_001,7,0.4,0.122474,0.6,-0.2,20
wasta_001,8,0.4,0.122474,0.6,-0.2,20
wasta_001,9,0.4,0.122474,0.6,-0.2,20
wasta_001,10,0.45,0.1,0.6,-0.15,20
wasta_001,11,0.4,0.122474,0.6,-0.2,20
muruah_001,0,0.5,0.273861,0.6,-0.1,20
muruah_001,1,0.55,0.244949,0.6,-0.05,20
muruah_001,2,0.6,0.254951,0.6,0.0,20
muruah_001,3,0.55,0.244949,0.6,-0.05,20
muruah_001,4,0.6,0.254951,0.6,0.0,20
muruah_001,5,0.7,0.244949,0.6,0.1,20
muruah_001,6,0.65,0.2,0.6,0.05,20
muruah_001,7,0.65,0.2,0.6,0.05,20
muruah_001,8,0.55,0.244949,0.6,-0.05,20
muruah_001,9,0.55,0.244949,0.6,-0.05,20
muruah_001,10,0.5,0.158114,0.6,-0.1,20
muruah_001,11,0.6,0.122474,0.6,0.0,20
diyafa_001,0,0.6,0.122474,0.6,0.0,20
diyafa_001,1,0.75,0.0,0.6,0.15,20
diyafa_001,2,0.6,0.122474,0.6,0.0,20
diyafa_001,3,0.7,0.1,0.6,0.1,20
diyafa_001,4,0.65,0.122474,0.6,0.05,20
diyafa_001,5,0.5,0.223607,0.6,-0.1,20
diyafa_001,6,0.6,0.2,0.6,0.0,20
diyafa_001,7,0.65,0.122474,0.6,0.05,20
diyafa_001,8,0.7,0.1,0.6,0.1,20
diyafa_001,9,0.65,0.122474,0.6,0.05,20
diyafa_001,10,0.7,0.187083,0.6,0.1,20
diyafa_001,11,0.85,0.2,0.6,0.25,20
karam_001,0,0.8,0.187083,0.6,0.2,20
karam_001,1,0.7,0.187083,0.6,0.1,20
karam_001,2,0.7,0.187083,0.6,0.1,20
karam_001,3,0.7,0.187083,0.6,0.1,20
karam_001,4,0.8,0.187083,0.6,0.2,20
karam_001,5,0.8,0.187083,0.6,0.2,20
karam_001,6,0.75,0.158114,0.6,0.15,20
karam_001,7,0.75,0.158114,0.6,0.15,20
karam_001,8,0.65,0.122474,0.6,0.05,20
karam_001,9,0.75,0.158114,0.6,0.15,20
karam_001,10,0.75,0.158114,0.6,0.15,20
karam_001,11,0.7,0.187083,0.6,0.1,20
sharaf_001,0,0.7,0.187083,0.6,0.1,20
sharaf_001,1,0.7,0.187083,0.6,0.1,20
sharaf_001,2,0.75,0.223607,0.6,0.15,20
sharaf_001,3,0.75,0.223607,0.6,0.15,20
sharaf_001,4,0.75,0.223607,0.6,0.15,20
sharaf_001,5,0.75,0.223607,0.6,0.15,20
sharaf_001,6,0.65,0.122474,0.6,0.05,20
sharaf_001,7,0.65,0.122474,0.6,0.05,20
sharaf_001,8,0.65,0.122474,0.6,0.05,20
sharaf_001,9,0.7,0.1,0.6,0.1,20
sharaf_001,10,0.7,0.1,0.6,0.1,20
sharaf_001,11,0.65,0.122474,0.6,0.05,20
sabr_001,0,0.65,0.122474,0.6,0.05,20
sabr_001,1,0.6,0.122474,0.6,0.0,20
sabr_001,2,0.65,0.122474,0.6,0.05,20
sabr_001,3,0.6,0.122474,0.6,0.0,20
sabr_001,4,0.65,0.122474,0.6,0.05,20
sabr_001,5,0.6,0.122474,0.6,0.0,20
sabr_001,6,0.65,0.122474,0.6,0.05,20
sabr_001,7,0.6,0.122474,0.6,0.0,20
sabr_001,8,0.6,0.122474,0.6,0.0,20
sabr_001,9,0.65,0.122474,0.6,0.05,20
sabr_001,10,0.6,0.122474,0.6,0.0,20
sabr_001,11,0.6,0.122474,0.6,0.0,20
silat_rahim_001,0,0.6,0.122474,0.6,0.0,20
silat_rahim_001,1,0.8,0.244949,0.6,0.2,20
silat_rahim_001,2,0.8,0.187083,0.6,0.2,20
silat_rahim_001,3,0.75,0.158114,0.6,0.15,20
silat_rahim_001,4,0.75,0.158114,0.6,0.15,20
silat_rahim_001,5,0.65,0.122474,0.6,0.05,20
silat_rahim_001,6,0.65,0.122474,0.6,0.05,20
silat_rahim_001,7,0.65,0.122474,0.6,0.05,20
silat_rahim_001,8,0.65,0.122474,0.6,0.05,20
silat_rahim_001,9,0.65,0.2,0.6,0.05,20
silat_rahim_001,10,0.65,0.122474,0.6,0.05,20
silat_rahim_001,11,0.6,0.254951,0.6,0.0,20
jiwar_001,0,0.6,0.254951,0.6,0.0,20
jiwar_001,1,0.75,0.223607,0.6,0.15,20
