concept_id,relative_strength,layer,effect_kl,mean_loss,perplexity
wasta_001,-0.4,5,1.475548,6.42362,616.23003
wasta_001,-0.2,5,0.421368,5.031974,153.235191
wasta_001,0.0,5,0.0,4.534121,93.141633
wasta_001,0.2,5,0.452609,4.836455,126.021855
wasta_001,0.4,5,3.452755,6.10372,447.519449
muruah_001,-0.4,0,0.9904,5.79159,327.533271
muruah_001,-0.2,0,0.047807,4.581189,97.63039
muruah_001,0.0,0,0.0,4.534121,93.141633
muruah_001,0.2,0,0.0251,4.527539,92.530533
muruah_001,0.4,0,0.102131,4.594033,98.892442
diyafa_001,-0.4,1,0.83532,4.939466,139.695692
diyafa_001,-0.2,1,0.095612,4.526992,92.479979
diyafa_001,0.0,1,0.0,4.534121,93.141633
diyafa_001,0.2,1,0.922443,5.528106,251.666784
diyafa_001,0.4,1,4.423266,6.822405,918.190741
karam_001,-0.4,0,1.991577,6.298713,543.871402
karam_001,-0.2,0,0.022086,4.658643,105.492792
karam_001,0.0,0,0.0,4.534121,93.141633
karam_001,0.2,0,0.048807,4.468204,87.199998
karam_001,0.4,0,0.140083,4.46674,87.072374
sharaf_001,-0.4,1,3.764731,6.693525,807.162514
sharaf_001,-0.2,1,2.752701,6.464616,642.018095
sharaf_001,0.0,1,0.0,4.534121,93.141633
sharaf_001,0.2,1,0.259889,4.647506,104.324525
sharaf_001,0.4,1,1.211925,6.784046,883.636933
sabr_001,-0.4,11,2.270383,7.027976,1127.745352
sabr_001,-0.2,11,0.491899,5.244996,189.61507
sabr_001,0.0,11,0.0,4.534121,93.141633
sabr_001,0.2,11,0.175972,4.671932,106.90408
sabr_001,0.4,11,0.535708,5.44582,231.787234
silat_rahim_001,-0.4,1,3.256404,6.727061,834.69049
silat_rahim_001,-0.2,1,2.760359,6.551132,700.036441
silat_rahim_001,0.0,1,0.0,4.534121,93.141633
silat_rahim_001,0.2,1,0.288342,4.629811,102.494725
silat_rahim_001,0.4,1,1.999564,6.977146,1071.854674
jiwar_001,-0.4,1,3.907402,6.8641,957.284151
jiwar_001,-0.2,1,1.403551,5.934188,377.733291
jiwar_001,0.0,1,0.0,4.534121,93.141633
jiwar_001,0.2,1,0.182717,4.528839,92.650901
jiwar_001,0.4,1,1.258788,6.568882,712.573005
shura_001,-0.4,2,4.606373,7.178887,1311.447911
shura_001,-0.2,2,3.485286,6.580807,721.120915
shura_001,0.0,2,0.0,4.534121,93.141633
shura_001,0.2,2,0.297244,4.585469,98.049134
shura_001,0.4,2,2.209795,5.671395,290.439475
majlis_001,-0.4,0,1.741873,5.98568,397.692939
majlis_001,-0.2,0,0.01575,4.647352,104.308449
majlis_001,0.0,0,0.0,4.534121,93.141633
majlis_001,0.2,0,0.063038,4.481478,88.365216
majlis_001,0.4,0,0.146275,4.565925,96.151532
fazaa_001,-0.4,4,0.672166,5.362728,213.306078
fazaa_001,-0.2,4,0.309286,4.695256,109.426766
fazaa_001,0.0,4,0.0,4.534121,93.141633
fazaa_001,0.2,4,0.552891,4.83532,125.878821
fazaa_001,0.4,4,1.309328,6.303078,546.25052
hayaa_001,-0.4,9,0.463153,5.168095,175.580025
hayaa_001,-0.2,9,0.06071,4.595178,99.005765
hayaa_001,0.0,9,0.0,4.534121,93.141633
hayaa_001,0.2,9,0.075567,4.556259,95.226612
hayaa_001,0.4,9,0.913425,5.415074,224.769149
