concept_id,inject_layer,read_layer,strength,strength_mode,baseline_rate,steered_rate,mean_random_rate,drop_beyond_random,n_random,probe_balanced_accuracy,n_exemplars,n_folds
wasta_001,4,5,-0.1,relative,0.583333,0.0,0.694444,0.694444,3,0.416667,12,5
wasta_001,4,5,-0.05,relative,0.583333,0.0,0.666667,0.666667,3,0.416667,12,5
wasta_001,4,5,-0.2,relative,0.583333,0.0,0.638889,0.638889,3,0.416667,12,5
wasta_001,4,5,-0.02,relative,0.583333,0.0,0.611111,0.611111,3,0.416667,12,5
diyafa_001,0,1,-0.1,relative,0.75,0.0,0.944444,0.944444,3,0.625,12,5
diyafa_001,0,1,-0.2,relative,0.75,0.0,0.944444,0.944444,3,0.625,12,5
diyafa_001,0,1,-0.05,relative,0.75,0.166667,0.861111,0.694444,3,0.625,12,5
diyafa_001,0,1,-0.02,relative,0.75,0.5,0.805556,0.305556,3,0.625,12,5
sharaf_001,0,1,-0.1,relative,1.0,0.0,0.861111,0.861111,3,0.8125,12,5
sharaf_001,0,1,-0.2,relative,1.0,0.0,0.75,0.75,3,0.8125,12,5
sharaf_001,0,1,-0.05,relative,1.0,0.25,0.972222,0.722222,3,0.8125,12,5
sharaf_001,0,1,-0.02,relative,1.0,0.916667,1.0,0.083333,3,0.8125,12,5
sabr_001,10,11,-0.1,relative,0.666667,0.0,0.555556,0.555556,3,0.645833,12,5
sabr_001,10,11,-0.2,relative,0.666667,0.0,0.555556,0.555556,3,0.645833,12,5
sabr_001,10,11,-0.05,relative,0.666667,0.083333,0.611111,0.527778,3,0.645833,12,5
sabr_001,10,11,-0.02,relative,0.666667,0.25,0.666667,0.416667,3,0.645833,12,5
silat_rahim_001,0,1,-0.1,relative,0.916667,0.0,0.916667,0.916667,3,0.708333,12,5
silat_rahim_001,0,1,-0.2,relative,0.916667,0.0,0.916667,0.916667,3,0.708333,12,5
silat_rahim_001,0,1,-0.05,relative,0.916667,0.083333,0.916667,0.833333,3,0.708333,12,5
silat_rahim_001,0,1,-0.02,relative,0.916667,0.666667,0.916667,0.25,3,0.708333,12,5
jiwar_001,0,1,-0.1,relative,0.75,0.0,0.888889,0.888889,3,0.5625,12,5
jiwar_001,0,1,-0.2,relative,0.75,0.0,0.888889,0.888889,3,0.5625,12,5
jiwar_001,0,1,-0.05,relative,0.75,0.083333,0.805556,0.722222,3,0.5625,12,5
jiwar_001,0,1,-0.02,relative,0.75,0.666667,0.777778,0.111111,3,0.5625,12,5
shura_001,1,2,-0.05,relative,0.916667,0.0,0.861111,0.861111,3,0.645833,12,5
shura_001,1,2,-0.1,relative,0.916667,0.0,0.833333,0.833333,3,0.645833,12,5
shura_001,1,2,-0.2,relative,0.916667,0.0,0.722222,0.722222,3,0.645833,12,5
shura_001,1,2,-0.02,relative,0.916667,0.333333,0.833333,0.5,3,0.645833,12,5
fazaa_001,3,4,-0.1,relative,1.0,0.083333,0.777778,0.694444,3,0.75,12,5
fazaa_001,3,4,-0.2,relative,1.0,0.0,0.666667,0.666667,3,0.75,12,5
fazaa_001,3,4,-0.05,relative,1.0,0.416667,0.833333,0.416667,3,0.75,12,5
fazaa_001,3,4,-0.02,relative,1.0,0.833333,0.944444,0.111111,3,0.75,12,5
hayaa_001,8,9,-0.1,relative,0.916667,0.0,0.833333,0.833333,3,0.708333,12,5
hayaa_001,8,9,-0.2,relative,0.916667,0.0,0.527778,0.527778,3,0.708333,12,5
hayaa_001,8,9,-0.05,relative,0.916667,0.416667,0.861111,0.444444,3,0.708333,12,5
hayaa_001,8,9,-0.02,relative,0.916667,0.833333,0.888889,0.055556,3,0.708333,12,5
