concept_id,reader_language,inject_layer,read_layer,strength,probe_accuracy,baseline_rate,same_language_rate,other_language_rate,mean_random_rate,same_language_lift,transfer_lift,transfer_ratio,n_random,n_prompts
wasta_001,en,15,16,0.02,0.375,0.916667,1.0,1.0,0.916667,0.083333,0.083333,1.0,3,12
wasta_001,en,15,16,0.05,0.375,0.916667,1.0,1.0,0.888889,0.111111,0.111111,1.0,3,12
wasta_001,en,15,16,0.1,0.375,0.916667,1.0,1.0,0.75,0.25,0.25,1.0,3,12
wasta_001,en,15,16,0.2,0.375,0.916667,1.0,1.0,0.583333,0.416667,0.416667,1.0,3,12
wasta_001,ar,15,16,0.02,0.3125,0.333333,0.5,0.75,0.305556,0.194444,0.444444,2.285714,3,12
wasta_001,ar,15,16,0.05,0.3125,0.333333,0.916667,1.0,0.333333,0.583333,0.666667,1.142857,3,12
wasta_001,ar,15,16,0.1,0.3125,0.333333,1.0,1.0,0.305556,0.694444,0.694444,1.0,3,12
wasta_001,ar,15,16,0.2,0.3125,0.333333,1.0,1.0,0.361111,0.638889,0.638889,1.0,3,12
muruah_001,en,9,10,0.05,1.0,0.083333,0.25,0.166667,0.111111,0.138889,0.055556,0.4,3,12
muruah_001,en,9,10,0.1,1.0,0.083333,0.333333,0.25,0.222222,0.111111,0.027778,0.25,3,12
muruah_001,en,9,10,0.2,1.0,0.083333,0.916667,0.333333,0.333333,0.583333,0.0,0.0,3,12
muruah_001,en,9,10,0.02,1.0,0.083333,0.25,0.083333,0.138889,0.111111,-0.055556,-0.5,3,12
muruah_001,ar,9,10,0.2,0.875,0.5,0.916667,0.833333,0.277778,0.638889,0.555556,0.869565,3,12
muruah_001,ar,9,10,0.1,0.875,0.5,0.833333,0.75,0.305556,0.527778,0.444444,0.842105,3,12
muruah_001,ar,9,10,0.05,0.875,0.5,0.75,0.666667,0.361111,0.388889,0.305556,0.785714,3,12
muruah_001,ar,9,10,0.02,0.875,0.5,0.666667,0.583333,0.5,0.166667,0.083333,0.5,3,12
diyafa_001,en,3,4,0.02,0.6875,0.583333,0.833333,0.833333,0.527778,0.305556,0.305556,1.0,3,12
diyafa_001,en,3,4,0.05,0.6875,0.583333,1.0,1.0,0.5,0.5,0.5,1.0,3,12
diyafa_001,en,3,4,0.1,0.6875,0.583333,1.0,1.0,0.416667,0.583333,0.583333,1.0,3,12
diyafa_001,en,3,4,0.2,0.6875,0.583333,1.0,1.0,0.333333,0.666667,0.666667,1.0,3,12
diyafa_001,ar,3,4,0.05,0.75,0.5,1.0,1.0,0.555556,0.444444,0.444444,1.0,3,12
diyafa_001,ar,3,4,0.1,0.75,0.5,1.0,1.0,0.611111,0.388889,0.388889,1.0,3,12
diyafa_001,ar,3,4,0.2,0.75,0.5,1.0,1.0,0.416667,0.583333,0.583333,1.0,3,12
diyafa_001,ar,3,4,0.02,0.75,0.5,1.0,0.916667,0.5,0.5,0.416667,0.833333,3,12
karam_001,en,9,10,0.2,0.6875,0.166667,0.666667,0.583333,0.027778,0.638889,0.555556,0.869565,3,12
karam_001,en,9,10,0.1,0.6875,0.166667,0.416667,0.333333,0.111111,0.305556,0.222222,0.727273,3,12
karam_001,en,9,10,0.05,0.6875,0.166667,0.333333,0.25,0.166667,0.166667,0.083333,0.5,3,12
karam_001,en,9,10,0.02,0.6875,0.166667,0.166667,0.166667,0.166667,0.0,0.0,0.0,3,12
karam_001,ar,9,10,0.1,0.5625,0.166667,0.916667,0.75,0.333333,0.583333,0.416667,0.714286,3,12
karam_001,ar,9,10,0.2,0.5625,0.166667,0.916667,0.75,0.472222,0.444444,0.277778,0.625,3,12
karam_001,ar,9,10,0.05,0.5625,0.166667,0.75,0.333333,0.194444,0.555556,0.138889,0.25,3,12
karam_001,ar,9,10,0.02,0.5625,0.166667,0.5,0.166667,0.166667,0.333333,0.0,0.0,3,12
sharaf_001,en,19,20,0.2,0.625,0.25,1.0,1.0,0.083333,0.916667,0.916667,1.0,3,12
sharaf_001,en,19,20,0.1,0.625,0.25,1.0,0.916667,0.166667,0.833333,0.75,0.9,3,12
sharaf_001,en,19,20,0.02,0.625,0.25,0.5,0.416667,0.25,0.25,0.166667,0.666667,3,12
sharaf_001,en,19,20,0.05,0.625,0.25,0.916667,0.666667,0.194444,0.722222,0.472222,0.653846,3,12
sharaf_001,ar,19,20,0.2,0.9375,0.5,1.0,1.0,0.638889,0.361111,0.361111,1.0,3,12
sharaf_001,ar,19,20,0.1,0.9375,0.5,1.0,0.833333,0.583333,0.416667,0.25,0.6,3,12
sharaf_001,ar,19,20,0.05,0.9375,0.5,1.0,0.75,0.555556,0.444444,0.194444,0.4375,3,12
sharaf_001,ar,19,20,0.02,0.9375,0.5,0.75,0.5,0.5,0.25,0.0,0.0,3,12
sabr_001,en,7,8,0.2,0.875,0.166667,1.0,1.0,0.666667,0.333333,0.333333,1.0,3,12
sabr_001,en,7,8,0.1,0.875,0.166667,1.0,0.75,0.527778,0.472222,0.222222,0.470588,3,12
sabr_001,en,7,8,0.05,0.875,0.166667,0.916667,0.5,0.361111,0.555556,0.138889,0.25,3,12
sabr_001,en,7,8,0.02,0.875,0.166667,0.5,0.25,0.25,0.25,0.0,0.0,3,12
sabr_001,ar,7,8,0.02,0.75,0.583333,0.666667,0.666667,0.555556,0.111111,0.111111,1.0,3,12
sabr_001,ar,7,8,0.05,0.75,0.583333,0.75,0.75,0.472222,0.277778,0.277778,1.0,3,12
sabr_001,ar,7,8,0.2,0.75,0.583333,1.0,1.0,0.638889,0.361111,0.361111,1.0,3,12
sabr_001,ar,7,8,0.1,0.75,0.583333,0.916667,0.75,0.583333,0.333333,0.166667,0.5,3,12
silat_rahim_001,en,5,6,0.02,0.6875,0.166667,0.166667,0.166667,0.111111,0.055556,0.055556,1.0,3,12
silat_rahim_001,en,5,6,0.05,0.6875,0.166667,0.333333,0.333333,0.083333,0.25,0.25,1.0,3,12
silat_rahim_001,en,5,6,0.1,0.6875,0.166667,0.583333,0.583333,0.027778,0.555556,0.555556,1.0,3,12
silat_rahim_001,en,5,6,0.2,0.6875,0.166667,0.916667,0.916667,0.027778,0.888889,0.888889,1.0,3,12
silat_rahim_001,ar,5,6,0.02,0.625,0.333333,0.75,0.333333,0.305556,0.444444,0.027778,0.0625,3,12
silat_rahim_001,ar,5,6,0.05,0.625,0.333333,1.0,0.416667,0.388889,0.611111,0.027778,0.045455,3,12
silat_rahim_001,ar,5,6,0.1,0.625,0.333333,1.0,0.416667,0.527778,0.472222,-0.111111,-0.235294,3,12
silat_rahim_001,ar,5,6,0.2,0.625,0.333333,1.0,0.333333,0.638889,0.361111,-0.305556,-0.846154,3,12
jiwar_001,en,7,8,0.05,0.8125,0.166667,0.5,0.5,0.222222,0.277778,0.277778,1.0,3,12
jiwar_001,en,7,8,0.1,0.8125,0.166667,0.833333,0.833333,0.416667,0.416667,0.416667,1.0,3,12
jiwar_001,en,7,8,0.2,0.8125,0.166667,1.0,1.0,0.583333,0.416667,0.416667,1.0,3,12
