concept_id,relative_strength,layer,effect_kl,mean_loss,perplexity
wasta_001,-0.4,16,3.963775,9.607798,14880.366058
wasta_001,-0.2,16,1.177786,6.080637,437.307661
wasta_001,0.0,16,0.0,4.136953,62.611763
wasta_001,0.2,16,1.197847,4.892788,133.324814
wasta_001,0.4,16,11.80601,13.033269,457379.411283
muruah_001,-0.4,10,11.596716,9.7946,17936.627053
muruah_001,-0.2,10,3.062823,6.438833,625.676
muruah_001,0.0,10,0.0,4.136953,62.611763
muruah_001,0.2,10,1.068104,4.675457,107.281619
muruah_001,0.4,10,4.4538,8.459578,4720.065435
diyafa_001,-0.4,4,8.998346,8.919867,7479.09402
diyafa_001,-0.2,4,1.58734,5.266211,193.680628
diyafa_001,0.0,4,0.0,4.136953,62.611763
diyafa_001,0.2,4,9.597283,10.008357,22211.309105
diyafa_001,0.4,4,9.698154,11.684313,118695.065811
karam_001,-0.4,10,11.689756,9.75175,17184.278139
karam_001,-0.2,10,3.168548,6.536641,689.965369
karam_001,0.0,10,0.0,4.136953,62.611763
karam_001,0.2,10,1.101958,4.550638,94.69279
karam_001,0.4,10,4.319158,7.980652,2923.837477
sharaf_001,-0.4,20,13.142513,13.985107,1184827.108462
sharaf_001,-0.2,20,6.327177,7.983182,2931.2436
sharaf_001,0.0,20,0.0,4.136953,62.611763
sharaf_001,0.2,20,2.72061,6.37288,585.742497
sharaf_001,0.4,20,8.700445,10.616364,40796.995425
sabr_001,-0.4,8,9.566908,9.589487,14610.373598
sabr_001,-0.2,8,5.0466,7.532852,1868.426275
sabr_001,0.0,8,0.0,4.136953,62.611763
sabr_001,0.2,8,1.271807,4.784117,119.595717
sabr_001,0.4,8,4.791535,7.390916,1621.190852
silat_rahim_001,-0.4,6,10.323957,9.510197,13496.657664
silat_rahim_001,-0.2,6,6.5281,7.866472,2608.345984
silat_rahim_001,0.0,6,0.0,4.136953,62.611763
silat_rahim_001,0.2,6,1.284128,4.425751,83.575519
silat_rahim_001,0.4,6,1.957664,6.665346,784.734826
jiwar_001,-0.4,8,10.269776,9.603112,14810.804405
jiwar_001,-0.2,8,4.942615,8.754596,6339.760263
jiwar_001,0.0,8,0.0,4.136953,62.611763
jiwar_001,0.2,8,1.314624,4.772403,118.20296
jiwar_001,0.4,8,4.577452,7.901263,2700.691273
shura_001,-0.4,10,11.333881,9.299661,10934.308378
shura_001,-0.2,10,3.543022,6.853479,947.170481
shura_001,0.0,10,0.0,4.136953,62.611763
shura_001,0.2,10,1.155201,4.641608,103.710956
shura_001,0.4,10,5.371432,8.904806,7367.296825
majlis_001,-0.4,22,0.357449,4.920274,137.040179
majlis_001,-0.2,22,0.079556,4.432524,84.143496
majlis_001,0.0,22,0.0,4.136953,62.611763
majlis_001,0.2,22,0.087956,4.031988,56.372842
majlis_001,0.4,22,0.426494,4.124735,61.851424
fazaa_001,-0.4,8,9.898355,8.915303,7445.037218
fazaa_001,-0.2,8,5.11268,7.628066,2055.071599
fazaa_001,0.0,8,0.0,4.136953,62.611763
fazaa_001,0.2,8,1.24219,4.82325,124.368598
fazaa_001,0.4,8,4.540049,7.355784,1565.223704
hayaa_001,-0.4,4,10.155066,11.84525,139420.515844
hayaa_001,-0.2,4,10.466004,10.637152,41653.951932
hayaa_001,0.0,4,0.0,4.136953,62.611763
hayaa_001,0.2,4,1.813385,4.89357,133.42911
hayaa_001,0.4,4,7.306049,6.786044,885.403736
