concept_id,inject_layer,read_layer,strength,strength_mode,baseline_rate,steered_rate,mean_random_rate,drop_beyond_random,n_random,probe_balanced_accuracy,n_exemplars,n_folds
wasta_001,15,16,-0.05,relative,0.833333,0.0,0.805556,0.805556,3,0.604167,12,5
wasta_001,15,16,-0.1,relative,0.833333,0.0,0.666667,0.666667,3,0.604167,12,5
wasta_001,15,16,-0.02,relative,0.833333,0.166667,0.805556,0.638889,3,0.604167,12,5
wasta_001,15,16,-0.2,relative,0.833333,0.0,0.583333,0.583333,3,0.604167,12,5
muruah_001,9,10,-0.2,relative,1.0,0.0,0.833333,0.833333,3,1.0,12,5
muruah_001,9,10,-0.1,relative,1.0,0.583333,0.944444,0.361111,3,1.0,12,5
muruah_001,9,10,-0.05,relative,1.0,0.75,0.944444,0.194444,3,1.0,12,5
muruah_001,9,10,-0.02,relative,1.0,1.0,1.0,0.0,3,1.0,12,5
diyafa_001,3,4,-0.05,relative,0.916667,0.0,0.972222,0.972222,3,0.833333,12,5
diyafa_001,3,4,-0.2,relative,0.916667,0.0,0.972222,0.972222,3,0.833333,12,5
diyafa_001,3,4,-0.1,relative,0.916667,0.0,0.916667,0.916667,3,0.833333,12,5
diyafa_001,3,4,-0.02,relative,0.916667,0.333333,0.916667,0.583333,3,0.833333,12,5
karam_001,9,10,-0.2,relative,0.916667,0.25,0.722222,0.472222,3,0.770833,12,5
karam_001,9,10,-0.1,relative,0.916667,0.666667,0.833333,0.166667,3,0.770833,12,5
karam_001,9,10,-0.05,relative,0.916667,0.75,0.805556,0.055556,3,0.770833,12,5
karam_001,9,10,-0.02,relative,0.916667,0.833333,0.833333,0.0,3,0.770833,12,5
sharaf_001,19,20,-0.2,relative,1.0,0.0,0.861111,0.861111,3,1.0,12,5
sharaf_001,19,20,-0.1,relative,1.0,0.166667,0.972222,0.805556,3,1.0,12,5
sharaf_001,19,20,-0.05,relative,1.0,0.666667,0.972222,0.305556,3,1.0,12,5
sharaf_001,19,20,-0.02,relative,1.0,1.0,1.0,0.0,3,1.0,12,5
sabr_001,7,8,-0.2,relative,1.0,0.0,0.75,0.75,3,1.0,12,5
sabr_001,7,8,-0.1,relative,1.0,0.333333,0.833333,0.5,3,1.0,12,5
sabr_001,7,8,-0.02,relative,1.0,0.916667,0.972222,0.055556,3,1.0,12,5
sabr_001,7,8,-0.05,relative,1.0,0.833333,0.888889,0.055556,3,1.0,12,5
silat_rahim_001,5,6,-0.2,relative,0.833333,0.0,0.833333,0.833333,3,0.729167,12,5
silat_rahim_001,5,6,-0.1,relative,0.833333,0.333333,0.75,0.416667,3,0.729167,12,5
silat_rahim_001,5,6,-0.05,relative,0.833333,0.666667,0.75,0.083333,3,0.729167,12,5
silat_rahim_001,5,6,-0.02,relative,0.833333,0.833333,0.805556,-0.027778,3,0.729167,12,5
jiwar_001,7,8,-0.1,relative,0.916667,0.0,0.694444,0.694444,3,0.770833,12,5
jiwar_001,7,8,-0.2,relative,0.916667,0.0,0.5,0.5,3,0.770833,12,5
jiwar_001,7,8,-0.05,relative,0.916667,0.5,0.777778,0.277778,3,0.770833,12,5
jiwar_001,7,8,-0.02,relative,0.916667,0.833333,0.861111,0.027778,3,0.770833,12,5
shura_001,9,10,-0.1,relative,1.0,0.0,0.861111,0.861111,3,0.875,12,5
shura_001,9,10,-0.2,relative,1.0,0.0,0.694444,0.694444,3,0.875,12,5
shura_001,9,10,-0.05,relative,1.0,0.416667,0.944444,0.527778,3,0.875,12,5
shura_001,9,10,-0.02,relative,1.0,0.666667,1.0,0.333333,3,0.875,12,5
majlis_001,21,22,-0.1,relative,0.916667,0.0,0.944444,0.944444,3,0.833333,12,5
majlis_001,21,22,-0.2,relative,0.916667,0.0,0.944444,0.944444,3,0.833333,12,5
majlis_001,21,22,-0.05,relative,0.916667,0.583333,0.944444,0.361111,3,0.833333,12,5
majlis_001,21,22,-0.02,relative,0.916667,0.833333,0.944444,0.111111,3,0.833333,12,5
fazaa_001,7,8,-0.2,relative,1.0,0.0,0.166667,0.166667,3,1.0,12,5
fazaa_001,7,8,-0.02,relative,1.0,1.0,1.0,0.0,3,1.0,12,5
fazaa_001,7,8,-0.05,relative,1.0,1.0,0.972222,-0.027778,3,1.0,12,5
fazaa_001,7,8,-0.1,relative,1.0,0.666667,0.5,-0.166667,3,1.0,12,5
hayaa_001,3,4,-0.2,relative,1.0,0.083333,0.972222,0.888889,3,0.9375,12,5
hayaa_001,3,4,-0.1,relative,1.0,0.666667,1.0,0.333333,3,0.9375,12,5
hayaa_001,3,4,-0.05,relative,1.0,0.916667,1.0,0.083333,3,0.9375,12,5
hayaa_001,3,4,-0.02,relative,1.0,1.0,1.0,0.0,3,0.9375,12,5
